0,1,2,3,4,5
13284,-7852,-3228,-15394,4603,-4609
12304,-172,-7124,-24738,974,-747
11192,15164,-3900,-20950,-2900,-2699
11804,8868,-8452,-11583,-1126,2147
12188,5688,-8556,-9332,-670,-2025
10872,7764,-6264,-946,196,-1672
11456,8980,-7316,4698,4066,763
12664,8520,-5380,16548,3995,-936
13640,4464,-1792,27247,1082,-264
12428,920,-10292,26201,11261,7021
13692,-6048,-5112,24504,-8433,-1810
8168,-11480,-4928,7292,-3228,-1672
8684,-9344,-6284,-783,5141,-1720
11440,-13716,-4016,-15122,-2276,-5430
14824,-5848,-7212,-14091,1424,-2502
10724,1472,-10588,-21600,348,5134
7648,13504,-7860,-20623,-1744,390
9656,7448,-8140,-17424,-1383,887
8716,10332,-6564,-8206,52,614
11232,11024,-6948,4371,3108,-1993
11964,8464,-7308,15364,4907,-377
13952,5828,-4380,25720,2033,1504
14052,-4792,-7580,15270,-3766,-1476
11092,-4832,-8852,19668,-3258,710
12232,-5904,-9032,17707,-4651,-4523
7772,-12164,-6084,7645,-1177,-2237
10320,-12176,-5964,-9703,2385,-4510
15216,-5928,-5440,-17721,5135,-2419
12468,-1544,-7572,-29221,1251,3187
11428,9156,-9512,-22240,-3605,1062
9576,11412,-6956,-12450,-833,3891
11948,6268,-7460,-6434,153,-2004
10476,11360,-6064,1460,368,-2687
13100,10256,-6208,16817,663,-1475
