,ax_mean,ay_mean,az_mean,wx_mean,wy_mean,wz_mean,ax_var,ay_var,az_var,wx_var,wy_var,wz_var,ax_std,ay_std,az_std,wx_std,wy_std,wz_std,ax_rms,ay_rms,az_rms,wx_rms,wy_rms,wz_rms,ax_skew,ay_skew,az_skew,wx_skew,wy_skew,wz_skew,ax_kurt,ay_kurt,az_kurt,wx_kurt,wy_kurt,wz_kurt,ax_med,ay_med,az_med,wx_med,wy_med,wz_med,ax_min,ay_min,az_min,wx_min,wy_min,wz_min,ax_max,ay_max,az_max,wx_max,wy_max,wz_max,ax_per,ay_per,az_per,wx_per,wy_per,wz_per,ax_cv,ay_cv,az_cv,wx_cv,wy_cv,wz_cv,ax_ptp,ay_ptp,az_ptp,wx_ptp,wy_ptp,wz_ptp,label
139,-421.6666666666667,391.3333333333333,-3070.6666666666665,-3291.833333333333,-1040.6666666666667,268.0,150431325.55555555,112184296.88888888,232143128.88888884,133449303.47222222,58777460.55555556,55733985.0,12265.044865615271,10591.708874817552,15236.243923253816,11552.02594665638,7666.645978232956,7465.519740781616,12272.291079229391,10598.935732735938,15542.590603456898,12011.888701060572,7736.953384030866,7470.328573764343,-0.6945479539678605,-0.4782535008384018,-0.8711621926826003,-0.0558147500023847,0.3369891316023015,-0.172758997667745,-0.7616149827054852,-0.8755291925751343,-0.3365763704736642,-1.016836434512492,-1.4414349988574784,-1.2340717734759878,2540.5,1849.0,-80.0,-6494.0,-3546.5,988.5,-22868,-18084,-32512,-21961,-10945,-11124,13136,13828,14252,12396,9284,10592,15227.0,13078.0,14069.0,12743.5,12400.25,10545.0,-29.08706292240776,27.065695591526964,-4.961868407486046,-3.50929855095632,-7.367052509512769,27.856416943214985,36004,31912,46764,34357,20229,21716,1
140,391.3333333333333,-3070.6666666666665,-3291.833333333333,-1040.6666666666667,268.0,2798.833333333333,112184296.88888888,232143128.88888884,133449303.47222222,58777460.55555556,55733985.0,45308332.80555555,10591.708874817552,15236.243923253816,11552.02594665638,7666.645978232956,7465.519740781616,6731.146470368592,10598.935732735938,15542.590603456898,12011.888701060572,7736.953384030866,7470.328573764343,7289.842305107384,-0.4782535008384018,-0.8711621926826003,-0.0558147500023847,0.3369891316023015,-0.172758997667745,-1.1848258926206567,-0.8755291925751343,-0.3365763704736642,-1.016836434512492,-1.4414349988574784,-1.2340717734759878,0.1789642676116605,1849.0,-80.0,-6494.0,-3546.5,988.5,4839.0,-18084,-32512,-21961,-10945,-11124,-10996,13828,14252,12396,9284,10592,9876,13078.0,14069.0,12743.5,12400.25,10545.0,4953.25,27.065695591526964,-4.961868407486046,-3.50929855095632,-7.367052509512769,27.856416943214985,2.404982958507208,31912,46764,34357,20229,21716,20872,1
141,-3070.6666666666665,-3291.833333333333,-1040.6666666666667,268.0,2798.833333333333,4677.833333333333,232143128.88888884,133449303.47222222,58777460.55555556,55733985.0,45308332.80555555,71262142.47222221,15236.243923253816,11552.02594665638,7666.645978232956,7465.519740781616,6731.146470368592,8441.690735404976,15542.590603456898,12011.888701060572,7736.953384030866,7470.328573764343,7289.842305107384,9651.127766570427,-0.8711621926826003,-0.0558147500023847,0.3369891316023015,-0.172758997667745,-1.1848258926206567,-0.6851556727517848,-0.3365763704736642,-1.016836434512492,-1.4414349988574784,-1.2340717734759878,0.1789642676116605,-0.6287267637456697,-80.0,-6494.0,-3546.5,988.5,4839.0,5494.5,-32512,-21961,-10945,-11124,-10996,-10964,14252,12396,9284,10592,9876,14273,14069.0,12743.5,12400.25,10545.0,4953.25,9804.0,-4.961868407486046,-3.50929855095632,-7.367052509512769,27.856416943214985,2.404982958507208,1.8046155418259828,46764,34357,20229,21716,20872,25237,1
142,-3291.833333333333,-1040.6666666666667,268.0,2798.833333333333,4677.833333333333,6776.5,133449303.47222222,58777460.55555556,55733985.0,45308332.80555555,71262142.47222221,114117284.58333331,11552.02594665638,7666.645978232956,7465.519740781616,6731.146470368592,8441.690735404976,10682.569193940815,12011.888701060572,7736.953384030866,7470.328573764343,7289.842305107384,9651.127766570427,12650.621993931103,-0.0558147500023847,0.3369891316023015,-0.172758997667745,-1.1848258926206567,-0.6851556727517848,-0.0044321713374306,-1.016836434512492,-1.4414349988574784,-1.2340717734759878,0.1789642676116605,-0.6287267637456697,-0.642465701034594,-6494.0,-3546.5,988.5,4839.0,5494.5,7113.0,-21961,-10945,-11124,-10996,-10964,-10608,12396,9284,10592,9876,14273,24149,12743.5,12400.25,10545.0,4953.25,9804.0,9496.5,-3.50929855095632,-7.367052509512769,27.856416943214985,2.404982958507208,1.8046155418259828,1.5764139591147075,34357,20229,21716,20872,25237,34757,1
143,-1040.6666666666667,268.0,2798.833333333333,4677.833333333333,6776.5,9628.5,58777460.55555556,55733985.0,45308332.80555555,71262142.47222221,114117284.58333331,120153913.58333331,7666.645978232956,7465.519740781616,6731.146470368592,8441.690735404976,10682.569193940815,10961.474060697006,7736.953384030866,7470.328573764343,7289.842305107384,9651.127766570427,12650.621993931103,14589.78840947782,0.3369891316023015,-0.172758997667745,-1.1848258926206567,-0.6851556727517848,-0.0044321713374306,0.8726132372726154,-1.4414349988574784,-1.2340717734759878,0.1789642676116605,-0.6287267637456697,-0.642465701034594,-0.1615191162180602,-3546.5,988.5,4839.0,5494.5,7113.0,8319.5,-10945,-11124,-10996,-10964,-10608,-3516,9284,10592,9876,14273,24149,31037,12400.25,10545.0,4953.25,9804.0,9496.5,9051.5,-7.367052509512769,27.856416943214985,2.404982958507208,1.8046155418259828,1.5764139591147075,1.1384404695120742,20229,21716,20872,25237,34757,34553,1
144,268.0,2798.833333333333,4677.833333333333,6776.5,9628.5,8495.333333333334,55733985.0,45308332.80555555,71262142.47222221,114117284.58333331,120153913.58333331,53042557.22222223,7465.519740781616,6731.146470368592,8441.690735404976,10682.569193940815,10961.474060697006,7283.032144802207,7470.328573764343,7289.842305107384,9651.127766570427,12650.621993931103,14589.78840947782,11189.872459803404,-0.172758997667745,-1.1848258926206567,-0.6851556727517848,-0.0044321713374306,0.8726132372726154,0.0627919617761857,-1.2340717734759878,0.1789642676116605,-0.6287267637456697,-0.642465701034594,-0.1615191162180602,-0.934322777179668,988.5,4839.0,5494.5,7113.0,8319.5,8410.0,-11124,-10996,-10964,-10608,-3516,-2691,10592,9876,14273,24149,31037,20107,10545.0,4953.25,9804.0,9496.5,9051.5,8319.0,27.856416943214985,2.404982958507208,1.8046155418259828,1.5764139591147075,1.1384404695120742,0.8572979845564866,21716,20872,25237,34757,34553,22798,1
145,2798.833333333333,4677.833333333333,6776.5,9628.5,8495.333333333334,12349.333333333334,45308332.80555555,71262142.47222221,114117284.58333331,120153913.58333331,53042557.22222223,82325448.55555554,6731.146470368592,8441.690735404976,10682.569193940815,10961.474060697006,7283.032144802207,9073.337233650887,7289.842305107384,9651.127766570427,12650.621993931103,14589.78840947782,11189.872459803404,15324.212290794374,-1.1848258926206567,-0.6851556727517848,-0.0044321713374306,0.8726132372726154,0.0627919617761857,0.7076566870522204,0.1789642676116605,-0.6287267637456697,-0.642465701034594,-0.1615191162180602,-0.934322777179668,-0.1549661294928039,4839.0,5494.5,7113.0,8319.5,8410.0,10902.0,-10996,-10964,-10608,-3516,-2691,-151,9876,14273,24149,31037,20107,29702,4953.25,9804.0,9496.5,9051.5,8319.0,6160.75,2.404982958507208,1.8046155418259828,1.5764139591147075,1.1384404695120742,0.8572979845564866,0.734722837965684,20872,25237,34757,34553,22798,29853,1
146,4677.833333333333,6776.5,9628.5,8495.333333333334,12349.333333333334,6936.333333333333,71262142.47222221,114117284.58333331,120153913.58333331,53042557.22222223,82325448.55555554,21587884.22222222,8441.690735404976,10682.569193940815,10961.474060697006,7283.032144802207,9073.337233650887,4646.276382461791,9651.127766570427,12650.621993931103,14589.78840947782,11189.872459803404,15324.212290794374,8348.688779283446,-0.6851556727517848,-0.0044321713374306,0.8726132372726154,0.0627919617761857,0.7076566870522204,-0.2096061510121498,-0.6287267637456697,-0.642465701034594,-0.1615191162180602,-0.934322777179668,-0.1549661294928039,-0.9369413306066594,5494.5,7113.0,8319.5,8410.0,10902.0,6565.5,-10964,-10608,-3516,-2691,-151,-825,14273,24149,31037,20107,29702,13268,9804.0,9496.5,9051.5,8319.0,6160.75,5635.75,1.8046155418259828,1.5764139591147075,1.1384404695120742,0.8572979845564866,0.734722837965684,0.6698461794120512,25237,34757,34553,22798,29853,14093,1
147,6776.5,9628.5,8495.333333333334,12349.333333333334,6936.333333333333,2909.0,114117284.58333331,120153913.58333331,53042557.22222223,82325448.55555554,21587884.22222222,47144810.66666666,10682.569193940815,10961.474060697006,7283.032144802207,9073.337233650887,4646.276382461791,6866.207881113611,12650.621993931103,14589.78840947782,11189.872459803404,15324.212290794374,8348.688779283446,7457.016271047467,-0.0044321713374306,0.8726132372726154,0.0627919617761857,0.7076566870522204,-0.2096061510121498,-0.0642861301471575,-0.642465701034594,-0.1615191162180602,-0.934322777179668,-0.1549661294928039,-0.9369413306066594,-1.21800464062381,7113.0,8319.5,8410.0,10902.0,6565.5,2207.0,-10608,-3516,-2691,-151,-825,-7753,24149,31037,20107,29702,13268,12196,9496.5,9051.5,8319.0,6160.75,5635.75,9878.75,1.5764139591147075,1.1384404695120742,0.8572979845564866,0.734722837965684,0.6698461794120512,2.360332719530289,34757,34553,22798,29853,14093,19949,1
148,9628.5,8495.333333333334,12349.333333333334,6936.333333333333,2909.0,3112.0,120153913.58333331,53042557.22222223,82325448.55555554,21587884.22222222,47144810.66666666,55320965.0,10961.474060697006,7283.032144802207,9073.337233650887,4646.276382461791,6866.207881113611,7437.806464274262,14589.78840947782,11189.872459803404,15324.212290794374,8348.688779283446,7457.016271047467,8062.599394736167,0.8726132372726154,0.0627919617761857,0.7076566870522204,-0.2096061510121498,-0.0642861301471575,-0.1531410837290802,-0.1615191162180602,-0.934322777179668,-0.1549661294928039,-0.9369413306066594,-1.21800464062381,-1.5258478701420408,8319.5,8410.0,10902.0,6565.5,2207.0,3710.5,-3516,-2691,-151,-825,-7753,-7570,31037,20107,29702,13268,12196,12036,9051.5,8319.0,6160.75,5635.75,9878.75,13100.0,1.1384404695120742,0.8572979845564866,0.734722837965684,0.6698461794120512,2.360332719530289,2.390040637620264,34553,22798,29853,14093,19949,19606,1
