0,1,2,3,4,5
-7008,-2712,17292,-7962,-1904,1429
-5352,-940,16396,-5381,-1542,-923
-6428,-568,18600,4380,3019,-608
-7524,832,16540,4033,5732,-944
-11344,340,17888,871,-1827,1166
12536,2924,19572,-6098,-22136,-12627
-9384,-1600,14044,5001,-3171,-3517
-4684,-204,16048,4224,-1347,-2067
-5772,-3508,18184,-14549,-24894,-2119
-16300,-2024,10284,11171,-1193,-32512
-14928,12344,15624,16628,13770,-32512
-6460,14340,18360,14132,3512,-6408
-6952,1748,15028,-24527,32511,8468
-4716,924,8940,16896,-32512,185
1668,-740,30096,-17464,20422,5201
-972,812,15888,118,-1018,1678
32,272,24460,-3162,-1408,2573
-956,-436,17224,588,81,-450
-88,-28,17632,163,718,-910
-248,108,17332,244,832,-1139
-208,-68,17512,192,761,-1269
-4,200,17472,264,818,-1132
-232,80,17744,21,607,-988
-164,260,17680,139,608,-1158
-280,116,17560,137,663,-1210
-236,200,17516,256,762,-1093
-88,144,17532,230,638,-864
-88,104,17652,180,845,-1057
-28,20,17512,217,698,-800
16,-24,17504,190,638,-939
-368,148,17356,227,550,-661
-232,-132,17528,253,816,-1072
-180,172,17436,118,615,-980
-116,148,17316,229,724,-874
-92,-56,17728,277,643,-917
-60,-56,17516,204,506,-779
-148,176,17488,155,759,-982
-356,8,17584,229,632,-914
-196,-4,17416,256,823,-1069
-192,-68,17676,240,748,-877
-88,44,17620,182,810,-1052
-204,184,17372,294,715,-910
-100,-52,17576,234,717,-992
-200,-76,17524,317,748,-957
-60,-52,17656,228,677,-947
-56,0,17696,266,584,-910
-164,52,17388,114,827,-1100
-316,160,17628,126,800,-864
72,164,17396,270,728,-974
-148,72,17592,166,775,-1052
52,200,17552,120,698,-1107
-176,-36,17560,208,772,-1077
-64,84,17588,161,556,-795
-372,92,17420,195,556,-751
-236,-8,17176,301,729,-1037
-168,244,17652,301,738,-933
