0,1,2,3,4,5
14036,-11324,13016,-9496,-3913,-7995
8804,-5432,12668,-873,2016,-3933
8616,-5956,12812,6547,6707,-334
11072,-4356,15668,15181,7455,-1276
2420,6568,17452,15191,12041,6357
3876,6960,13832,-31,10852,6597
2132,14928,13352,21892,8399,1489
2276,10052,12908,2084,1683,4133
2840,9604,11648,-5727,-2491,504
4308,6332,12928,-12766,-232,595
2864,10400,14296,-4297,-1113,-6660
12212,-10884,13880,-27030,-4700,-4606
6448,-4104,13388,-13388,-3249,-9165
9392,-10504,14052,-2674,-919,-10086
9448,-5624,13676,4304,3378,-3036
6596,-1928,13744,5874,5813,3867
5796,-2476,15904,8953,6698,5676
8592,-1256,13260,26728,4770,8561
424,13288,13380,21310,10835,2098
2060,7472,13408,10382,2062,3088
4212,10028,11404,-3733,-835,222
-76,1840,13892,-13616,-903,876
2256,7532,15956,-4565,-1836,-4565
11228,-4768,15832,-28958,-6068,-480
7444,-2772,12672,-10443,-3609,-8397
7924,-7004,13940,-4331,-205,-9456
8608,-2824,13080,4333,4618,-2900
8632,-3008,14176,5015,5566,3316
5556,-3492,16880,15718,7663,5309
7256,10848,16644,18805,-7145,7283
176,15320,10564,25288,11710,2419
2240,12088,11692,4922,688,3092
4072,12076,12096,-5292,-369,8221
4516,7212,15184,-13310,255,-2571
5072,6796,17076,-5353,-6636,-9021
12880,-2444,8320,-27062,-5479,-6922
14720,-9968,14004,-17409,-4268,-7935
7488,-5004,13368,-2556,2968,-3771
7848,-3288,14084,9010,5618,-410
6736,-1672,15240,11237,5907,2430
7136,6208,17536,21366,5294,4859
5800,4540,11576,10424,5643,3616
1012,16556,16188,10230,2160,1923
4396,10364,11144,-5846,-813,1459
10708,-5716,13064,377,1190,-1993
8976,-4004,15372,6536,4421,1223
9148,-1376,14464,15694,7091,-964
7564,-3312,14868,22028,8235,2466
7676,5688,16300,8176,5985,5243
2340,14576,12656,11683,8089,3345
3552,8524,11300,-554,856,-1008
6224,10632,13084,-13646,-2166,4109
5176,7276,17876,-7673,-2576,-8973
14776,-9040,9932,-29079,-8144,-5126
14120,-6212,13724,-12019,-4745,-6718
7356,728,12628,1717,1839,-3983
7144,-1876,13852,3549,2797,278
11168,-1844,14316,8461,1383,2772
5512,2428,15536,11634,8073,3170
10576,2664,15624,14891,-5161,4879
8732,10536,11716,18820,4946,-5063
7380,8168,12932,17608,8730,2457
1420,11808,12248,1711,3859,3138
4192,6596,13200,-3842,200,2636
1064,-1568,13628,-16412,-3332,990
5652,6608,15352,-6338,1585,-6952
5484,6928,12160,-32512,-15359,-9006
7668,-60,13812,-17742,-4137,-6677
11520,-3448,14140,-10355,-5984,-8540
8544,-868,14780,-1946,-403,-4861
8264,-2484,13560,1118,3538,128
7940,-108,14472,6273,4507,3664
7032,644,14612,10486,7271,2072
8556,1940,18104,23554,7201,5408
5508,7348,15704,17974,1529,2355
5984,10036,13136,14845,6327,-104
3904,14472,12488,5150,5023,2977
4024,9104,12252,-801,657,1826
4264,10812,12372,-10867,-24,2182
7072,5328,13792,-9572,2184,-3136
4388,8916,18508,-21740,-2713,-10424
8152,-80,15544,-17258,-3259,-8055
9940,-9304,16088,-14025,-1072,-7528
5872,-5464,14960,2173,2321,-4718
4780,-1348,14964,3812,1806,-966
7100,-4124,14580,10550,3245,-804
5708,1976,15068,14585,8379,4245
2804,5184,17676,21649,2177,4076
6640,5124,16140,7055,-5226,2012
8808,6356,11744,2270,-11543,-1175
11364,5284,8712,-4456,-13678,-1994
14780,2068,4964,-9585,-16833,-2239
17960,7116,6348,-14744,-14760,-1886
20152,6888,4512,-14778,-11394,-4372
13272,3452,2508,-11596,-761,-7565
13776,4340,1596,-1935,-3223,-4103
14656,7696,-1364,-710,-5339,564
13572,5888,1288,-7606,-11099,2361
15180,-1924,-1000,3822,-4325,-843
10896,-544,216,12399,547,-1239
22168,2900,-3444,23478,-1006,878
16096,10940,-1748,17602,21784,-10008
9348,11668,-1584,20557,1536,-1671
12480,7400,560,11862,8668,3116
12988,5120,3524,3289,10932,7034
15632,536,4504,13640,12148,3686
12936,2000,9092,11645,14088,4637
11300,5904,8452,14530,12642,6735
10200,7268,10124,11995,11364,5044
9668,5384,13268,8317,4846,3639
8740,7516,13316,10773,-1292,2479
21016,15372,13368,8395,-7167,4745
12152,8452,4504,1527,-6686,-127
12896,6592,1744,-141,-5045,-166
14236,6372,4184,159,-3632,-812
12652,8000,2472,3926,-9138,8027
15612,5484,-2884,-1942,918,-915
16116,7272,-5732,4182,-10917,-3202
15236,7584,-2452,-699,9436,-989
13788,7068,-752,99,1159,-1772
14604,5516,216,-1666,4467,-122
15908,10888,-8988,16870,5338,-2828
12048,2172,-924,6721,-7011,915
16696,8164,1516,-31,170,1152
20628,12836,1972,-6463,810,-944
14288,7820,2596,-2542,2470,-1311
14452,6584,-8312,-8031,11259,-3447
12800,13000,7292,6249,-2277,-2616
20520,10980,-10428,-6136,17265,-1177
15796,8684,3696,15679,6591,-6099
15452,13428,1616,4142,17550,-10619
15296,6884,2008,1158,999,-494
15260,6540,-2336,7385,1204,46
8892,12584,22376,7902,-1102,531
22460,20744,23360,11315,101,2669
12124,2532,-2956,-7757,-13614,2269
10860,8340,5156,-1611,13046,-5022
17588,12412,4408,2826,22189,-28497
5496,-832,4472,-8645,16697,-12186
6364,14796,9172,-4606,-12666,8000
3972,8724,3820,-32512,-23809,-13535
10292,4044,9980,-15822,3916,-1218
10176,5044,15832,-7047,10176,-5209
10416,5308,15836,-2389,176,-6415
7056,4312,15852,-4366,3986,-3524
8880,2624,15488,-5425,-1657,-6700
6088,2328,13900,1648,8651,-3426
7480,4860,16292,3899,-3799,-4426
4860,4028,17924,-2260,12494,-5514
452,5184,4376,23554,2618,12788
2832,10364,13680,-28363,1136,6731
5468,208,16976,-16712,2097,-9681
6824,248,16292,-6501,-3261,-2006
-372,-2008,16604,-11665,18321,6629
-144,-6104,21200,-12015,-2828,-3009
592,-7008,15644,-12075,-9542,2153
4780,-6700,15160,3340,-2251,9617
3500,-7196,15456,10498,-625,-6101
10520,-68,15800,5600,2678,-1657
8420,1164,16356,2009,-768,-6518
3868,-6812,17824,-3850,4529,-11164
4616,-2092,16116,1279,4683,-6352
5632,180,16936,9141,-1916,-6952
6352,-2932,16448,-1826,5875,-11133
3648,-2220,18136,929,4838,-13362
8332,-2896,14992,1604,-216,-89
9856,-3940,14384,4167,-2657,890
9172,-1796,14420,-1453,-6411,4873
10572,-3540,11112,-5541,-10178,4666
10504,-5028,12444,-5613,4551,-1243
9844,-7684,11028,-3131,10538,-170
7760,-6916,12484,4545,791,-1836
